UIC;Nom de la gare;adresse postale;Type;Région;Latitude;Longitude
746313;St-Pierre en Faucigny;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;46,05934;6,37566
478768;St-Pierre la Cour;;Gare Ferroviaire de Voyageurs;Pays de la Loire;48,11367;-1,02521
696294;St-Pierre le Moûtier;;Gare Ferroviaire de Voyageurs;Bourgogne;46,79292;3,11139
444216;St-Pierre sur Dives;;Gare Ferroviaire de Voyageurs;Basse-Normandie;49,02265;-0,04149
741223;St-Pierre-d'Albigny;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,55736;6,15695
582833;St-Pierre-d'Aurillac;;Gare Ferroviaire de Voyageurs;Aquitaine;44,57532;-0,18711
595520;St-Pierre-de-Chignac;;Gare Ferroviaire de Voyageurs;Aquitaine;45,12339;0,85675
571240;St-Pierre-des-Corps;67,rue Fabienne LANDY 37700 St Pierre des Corps;Gare Ferroviaire de Voyageurs;Centre;47,38577;0,72516
476440;St-Pierre-Quiberon;;Gare Ferroviaire de Voyageurs;Bretagne;47,52093;-3,13897
342337;St-Pol sur Ternoise;;Gare Ferroviaire de Voyageurs;Nord Pas de Calais;50,37886;2,33905
474569;St-Pol-de-Léon;;Gare Ferroviaire de Voyageurs;Bretagne;48,67681;-3,98758
723353;St-Priest;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,68665;4,93416
592055;St-Priest-Taurion;;Gare Ferroviaire de Voyageurs;Limousin;45,88732;1,39977
296004;St-Quentin;Place André Baudez 02100 ST QUENTIN;Gare Ferroviaire de Voyageurs;Picardie;49,83970;3,29709
393843;St-Quentin en Yvelines;;Gare Ferroviaire de Voyageurs;Ile de France;48,78712;2,04387
723387;St-Quentin-Fallavier;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,63819;5,09991
743740;St-Rambert en Bugey;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,94753;5,43924
761106;St-Rambert-d'Albon;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,29799;4,81047
757526;St-Raphaël-Valescure;rue Waldeck Rousseau 83700 St Raphaël;Gare Ferroviaire de Voyageurs;Provence-Alpes-CA;43,42439;6,76847
212191;Strasbourg-Roethig;;Gare Ferroviaire de Voyageurs;Alsace;48,56307;7,69390
212027;Strasbourg-Ville;20 Place de la gare 67000 Strasbourg;Gare Ferroviaire de Voyageurs;Alsace;48,58497;7,73458
286203;Strazeele;;Gare Ferroviaire de Voyageurs;Nord Pas de Calais;50,71341;2,63073
313288;St-Remy en l'Eau;;Gare Ferroviaire de Voyageurs;Picardie;49,46761;2,42553
313080;St-Roch (Somme);;Gare Ferroviaire de Voyageurs;Picardie;49,89344;2,28375
726430;St-Romain le Puy;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,55447;4,12070
721456;St-Romain-de-Popey;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,86169;4,54233
783431;St-Rome-de-Cernon;Gare SNCF 12490 Saint-Rome de Cernon;Gare Ferroviaire de Voyageurs;Midi-Pyrénées;44,01272;2,96674
765438;St-Saturnin-d'Avignon;;Gare Ferroviaire de Voyageurs;Provence-Alpes-CA;43,95318;4,93523
491035;St-Savinien sur Charente;;Gare Ferroviaire de Voyageurs;Poitou-Charentes;45,87584;-0,67790
575365;St-Saviol;;Gare Ferroviaire de Voyageurs;Poitou-Charentes;46,14716;0,21789
592493;St-Sébastien;Gare SNCF  23160 ST SEBASTIEN;Gare Ferroviaire de Voyageurs;Limousin;46,38575;1,54646
471169;St-Senoux-Pléchâtel;;Gare Ferroviaire de Voyageurs;Bretagne;47,89785;-1,76615
584615;St-Seurin sur l'Isle;;Gare Ferroviaire de Voyageurs;Aquitaine;45,01142;-0,00191
447714;St-Sever (Calvados);;Gare Ferroviaire de Voyageurs;Basse-Normandie;48,84374;-1,05208
615344;St-Sulpice (Tarn);;Gare Ferroviaire de Voyageurs;Midi-Pyrénées;43,77541;1,68104
313684;St-Sulpice-Auteuil;;Gare Ferroviaire de Voyageurs;Picardie;49,34784;2,11591
584722;St-Sulpice-Izon;;Gare Ferroviaire de Voyageurs;Aquitaine;44,91405;-0,39111
592345;St-Sulpice-Laurière;Place de la gare 23300 LA SOUTERRAINE;Gare Ferroviaire de Voyageurs;Limousin;46,04666;1,47593
694174;St-Symphorien-de-Marmagne;;Gare Ferroviaire de Voyageurs;Bourgogne;46,84433;4,33735
474312;St-Thégonnec;;Gare Ferroviaire de Voyageurs;Bretagne;48,49419;-3,94812
761130;St-Vallier sur Rhône;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,18598;4,81444
415166;St-Victor;;Gare Ferroviaire de Voyageurs;Haute-Normandie;49,67671;1,10997
721043;St-Victor-Thizy;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;46,00222;4,28136
592683;St-Victurnien;;Gare Ferroviaire de Voyageurs;Limousin;45,87663;1,00869
734715;St-Vincent le Château;;Gare Ferroviaire de Voyageurs;Auvergne;45,14940;3,91864
673277;St-Vincent-de-Tyrosse;;Gare Ferroviaire de Voyageurs;Aquitaine;43,65757;-1,30675
718320;St-Vit;;Gare Ferroviaire de Voyageurs;Franche-Comté;47,18360;5,80865
592824;St-Yrieix;;Gare Ferroviaire de Voyageurs;Limousin;45,51927;1,20561
574236;Suèvres;;Gare Ferroviaire de Voyageurs;Centre;47,68091;1,45473
174821;Suippes;;Gare Ferroviaire de Voyageurs;Champagne-Ardenne;49,11999;4,54400
444562;Surdon;Gare SNCF 61570 Le Château-d'Almenêches;Gare Ferroviaire de Voyageurs;Basse-Normandie;48,66491;0,13413
382374;Suresnes-Mont-Valérien;;Gare Ferroviaire de Voyageurs;Ile de France;48,87150;2,22103
485227;Surgères;1 rue Julia et Maurice Marcou 17700 Surgères;Gare Ferroviaire de Voyageurs;Poitou-Charentes;46,11342;-0,76212
276261;Survilliers-Fosses;;Gare Ferroviaire de Voyageurs;Ile de France;49,09965;2,52552
726422;Sury le Comtal;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,52913;4,18239
393454;Tacoignières-Richebourg;;Gare Ferroviaire de Voyageurs;Ile de France;48,82958;1,66918
746750;Taconnaz;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,89952;6,82589
